target,platform,amount,bribe_platform
0x6dDEdCdB545e04927B2ABa21778A790A3318E3cb,balancer,107.8057,hiddenhand
0x6dDEdCdB545e04927B2ABa21778A790A3318E3cb,aura,0.0000,hiddenhand
0xD606Ea6f6d93D90EFafc7d21972353FB98205Eb8,balancer,312.9141,hiddenhand
0xD606Ea6f6d93D90EFafc7d21972353FB98205Eb8,aura,0.0000,hiddenhand
0x2fb78CD279fD613891fDAc2681444aD3541C31b2,balancer,162.4985,hiddenhand
0x2fb78CD279fD613891fDAc2681444aD3541C31b2,aura,0.0000,hiddenhand
0xA7165E1E3dEfe55DAdA5C4289268d57faBA6dAd2,balancer,587.1222,hiddenhand
0xA7165E1E3dEfe55DAdA5C4289268d57faBA6dAd2,aura,1127.6301,hiddenhand
0xB1EFE3B01D5Cf28Bd923de3E5a567621588F435a,balancer,7447.0406,hiddenhand
0xB1EFE3B01D5Cf28Bd923de3E5a567621588F435a,aura,14302.8272,hiddenhand
0x1dA19f38Eb6F2c22199dC0848118b26095C29aEd,balancer,1498.0861,hiddenhand
0x1dA19f38Eb6F2c22199dC0848118b26095C29aEd,aura,2877.2323,hiddenhand
0x9b237fA1958E3022464343137738926d38815801,balancer,532.2232,hiddenhand
0x9b237fA1958E3022464343137738926d38815801,aura,1022.1909,hiddenhand
0x7f49d37D0dA53A4899Bc0ba916F59Ec9D4E6d1e2,balancer,457.8190,hiddenhand
0x7f49d37D0dA53A4899Bc0ba916F59Ec9D4E6d1e2,aura,879.2897,hiddenhand
0xfD151734ffC9A4A55C50fed4b66c15B06Bbb390B,balancer,547.1662,hiddenhand
0xfD151734ffC9A4A55C50fed4b66c15B06Bbb390B,aura,1050.8904,hiddenhand
0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f,payment,14183.89300926342276161641377,
0xea06e1b4259730724885a39CE3ca670eFB020E26,beets,124.9754,
