,chain,symbol,2023-09-29_2023-10-13,2023-10-13_2023-10-27,2023-10-27_2023-11-10,2023-11-10_2023-11-23,2023-11-23_2023-12-07,2023-12-07_2023-12-21,2023-12-21_2024-01-04,2024-01-04_2024-01-18,2024-01-18_2024-02-01,2024-02-01_2024-02-15,2024-02-15_2024-02-29,2024-02-29_2024-03-14,2024-03-14_2024-03-28,2024-03-28_2024-04-11,2024-04-11_2024-04-25,2024-04-25_2024-05-09,2024-05-09_2024-05-23,2024-05-23_2024-06-06,2024-06-06_2024-06-20,2024-06-20_2024-07-04,2024-07-18_2024-08-01
0xb61371ab661b1acec81c699854d2f911070c059e000000000000000000000516,arbitrum,ezETH/wstETH,0,0,0,0,0,0,0,0,0,0,0,0,-5715.57 (-100.00%),-14411.28 (-100.00%),-10574.12 (-100.00%),-5105.87 (-100.00%),-3172.30 (-100.00%),-3417.40 (-100.00%),-3192.43 (-100.00%),-7478.04 (-100.00%),-3190.35 (-100.00%)
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-320.21 (-100.00%),-4506.61 (-100.00%),-13400.36 (-100.00%),-48370.83 (-100.00%),-61518.93 (-100.00%),-30844.27 (-100.00%)
0xb91159aa527d4769cb9faf3e4adb760c7e8c8ea700000000000000000000067c,mainnet,ETHx/wstETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18 (-100.00%),-38.37 (-100.00%),-195.99 (-100.00%),-490.24 (-100.00%),-713.76 (-100.00%),-626.43 (-100.00%),-744.88 (-100.00%)
0xb9debddf1d894c79d2b2d09f819ff9b856fca55200000000000000000000062a,mainnet,weETH-WETH-BPT,0,0,0,0,-85.38 (-100.00%),-844.55 (-100.00%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xbad20c15a773bf03ab973302f61fabcea5101f0a000000000000000000000034,gnosis,bb-WETH-wstETH,-3387.71 (-21.37%),-3585.53 (-23.04%),-3768.20 (-11.91%),-4515.78 (-9.32%),-4519.20 (-7.80%),-4911.31 (-9.99%),-4202.05 (-10.83%),-4679.52 (-10.25%),-3963.72 (-11.33%),-4489.59 (-12.16%),-6063.22 (-8.41%),-7392.52 (-11.09%),-6807.59 (-5.65%),-6109.98 (-13.44%),-7269.41 (-7.63%),-6079.63 (-15.71%),-6579.95 (-11.53%),-9571.72 (-15.82%),-9629.40 (-19.16%),-7654.20 (-17.54%),-6235.92 (-14.12%)
0xc13546b97b9b1b15372368dc06529d7191081f5b00000000000000000000001d,avalanche,ggAVAX-WAVAX-BPT,-5251.13 (-100.00%),-4149.69 (-100.00%),-6311.13 (-100.00%),-7553.40 (-100.00%),-5509.67 (-67.90%),-8747.18 (-65.22%),-8825.72 (-56.98%),-6925.62 (-70.71%),-1347.41 (-8.25%),-7472.52 (-71.59%),-10908.00 (-64.04%),-11587.15 (-65.01%),-30182.18 (-51.31%),-21395.56 (-65.84%),-9912.47 (-68.56%),-8764.52 (-67.71%),-5063.23 (-70.51%),-4738.67 (-72.99%),-6536.97 (-70.31%),-4415.69 (-72.04%),-4343.84 (-100.00%)
0xc2598280bfea1fe18dfcabd21c7165c40c6859d30000000000000000000004f3,arbitrum,wstETH/sfrxETH,0,0,0,0,0,0,0,0,0,0,-5366.40 (-100.00%),-12999.29 (-100.00%),-9374.75 (-100.00%),-8530.82 (-100.00%),-6222.17 (-100.00%),-3907.89 (-100.00%),-3078.33 (-100.00%),-3354.86 (-100.00%),-3775.19 (-100.00%),-2951.28 (-100.00%),-6157.79 (-100.00%)
0xc757f12694f550d0985ad6e1019c4db4a803f1600002000000000000000004de,arbitrum,50wstETH/50sFRAX,0,0,0,0,0,0,0,-0.05 (-100.00%),0,0,0,0,0,0,0,0,0,0,0,0,0
0xc771c1a5905420daec317b154eb13e4198ba97d0000000000000000000000023,base,rETH-WETH-BPT,-849.30 (-100.00%),-2366.96 (-100.00%),-2498.25 (-100.00%),-664.78 (-100.00%),-779.07 (-100.00%),-894.46 (-100.00%),-2442.23 (-100.00%),-988.46 (-100.00%),-2256.94 (-100.00%),-2270.67 (-100.00%),-2785.21 (-100.00%),-7133.94 (-100.00%),-7454.71 (-100.00%),-7007.85 (-100.00%),-5962.18 (-100.00%),-6038.48 (-100.00%),-5441.27 (-100.00%),-9319.38 (-100.00%),-4539.63 (-100.00%),-3808.27 (-100.00%),-5535.32 (-100.00%)
0xca8ecd05a289b1fbc2e0eaec07360c4bfec07b6100020000000000000000051d,arbitrum,2CLP-AUSDC-USDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,3202.33 (64.02%),8898.38 (83.59%),6415.96 (88.66%),12704.00 (61.42%),14818.87 (73.04%),12369.14 (65.06%),19233.81 (64.33%),8929.10 (34.62%),9983.29 (43.28%),8350.82 (29.90%),8672.85 (26.44%),13003.15 (21.40%),12107.66 (26.20%),13383.63 (22.62%),5157.81 (11.05%),2894.82 (9.41%),2434.26 (8.85%),2508.43 (11.44%),2663.25 (8.55%),2685.19 (11.98%),2000.65 (8.73%)
0xcdcef9765d369954a4a936064535710f7235110a000200000000000000000558,arbitrum,ECLP-weETH-wstETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131.56 (27.17%)
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,RDNT-WETH,0,0,-34809.13 (-100.00%),1448.56 (7.42%),800.50 (4.00%),46.90 (0.37%),4031.00 (17.56%),-1058.08 (-4.15%),489.21 (6.04%),323.51 (13.11%),1601.00 (10.50%),2231.23 (11.18%),881.50 (4.47%),-125.45 (-1.18%),219.72 (1.71%),647.30 (9.30%),126.27 (1.12%),3499.61 (23.94%),987.47 (9.70%),392.05 (7.50%),231.26 (2.62%)
0xd0ec47c54ca5e20aaae4616c25c825c7f48d40690000000000000000000004ef,arbitrum,rETH/wETH BPT,0,0,0,0,0,0,0,0,0,0,-6772.72 (-100.00%),-9668.83 (-68.17%),1032.56 (6.44%),6558.63 (55.73%),5247.85 (54.91%),3071.91 (37.15%),1051.56 (18.23%),1848.61 (24.26%),1288.90 (23.12%),1534.28 (29.80%),778.33 (29.10%)
0xd3f8ab9c5928fdf53153e7757131ad7815fe3146000000000000000000000661,mainnet,vETH/wstETH,0,0,0,0,0,0,0,0,0,0,-2969.40 (-100.00%),-3299.68 (-100.00%),-1146.16 (-100.00%),-717.63 (-100.00%),-660.21 (-100.00%),-755.47 (-100.00%),-253.09 (-100.00%),0,0,0,0
0xdacf5fa19b1f720111609043ac67a9818262850c000000000000000000000635,mainnet,osETH/wETH-BPT,0,0,0,0,0,0,0,0,0,0,-682.92 (-100.00%),-446.24 (-100.00%),-454.28 (-100.00%),-359.09 (-100.00%),-391.00 (-100.00%),0,0,0,0,0,0
0xdc31233e09f3bf5bfe5c10da2014677c23b6894c000000000000000000000c23,polygon,wstETH-WETH-BPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xdd59f89b5b07b7844d72996fc9d83d81acc8219600000000000000000000059e,mainnet,uniETH-WETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353.61 (10.19%),-226.95 (-100.00%),0,638.36 (14.83%),0,0,-474.67 (-100.00%)
0xdedb11a6a23263469567c2881a9b9f8629ee0041000000000000000000000669,mainnet,svETH/wstETH,0,0,0,0,0,0,0,0,0,0,-44863.73 (-100.00%),-73854.14 (-100.00%),-55547.98 (-100.00%),-54512.95 (-100.00%),-65588.37 (-100.00%),-44691.76 (-100.00%),-40138.98 (-100.00%),-45811.94 (-100.00%),-14239.20 (-100.00%),-3551.81 (-100.00%),-91.25 (-100.00%)
0xdf725fde6e89981fb30d9bf999841ac2c160b512000000000000000000000010,zkevm,B-wstETH/rETH-STABLE,0,0,-12927.76 (-100.00%),-447.21 (-100.00%),-502.12 (-100.00%),-454.95 (-100.00%),-247.01 (-100.00%),-153.40 (-100.00%),-178.25 (-100.00%),0,0,0,0,0,0,0,0,0,0,0,0
0xdfa752ca3ff49d4b6dbe08e2d5a111f51773d3950000000000000000000004e8,arbitrum,sFRAX/FRAX,0,0,0,0,0,0,0,0,0,-0.01 (-100.00%),0,0,0,0,0,0,0,0,0,0,0
0xdfe6e7e18f6cc65fa13c8d8966013d4fda74b6ba000000000000000000000558,mainnet,ankrETH/wstETH,1787.35 (20.44%),3781.30 (16.77%),5441.66 (35.78%),3435.74 (13.83%),6097.14 (32.39%),95.82 (0.44%),3104.60 (16.16%),3993.81 (17.67%),2066.80 (12.94%),1402.20 (10.61%),3847.18 (17.20%),3409.56 (16.61%),2810.77 (15.80%),6711.88 (55.19%),-1996.10 (-13.25%),2011.06 (21.81%),973.09 (13.03%),3784.04 (40.21%),250.99 (2.79%),1292.37 (17.88%),1032.36 (18.34%)
0xe1f2c039a68a216de6dd427be6c60decf405762a00000000000000000000000e,zkevm,B-wstETH-STABLE,0,0,-13292.01 (-100.00%),-1516.35 (-100.00%),-1422.57 (-100.00%),-1570.30 (-100.00%),-1923.51 (-100.00%),-967.59 (-100.00%),-588.26 (-100.00%),0,0,0,0,0,0,0,0,0,0,0,0
0xe3e0022d25194431a98e8bf5034d2617c96e1d44000000000000000000000670,mainnet,InstETH/wstETH,0,0,0,0,0,0,0,0,0,0,0,0,-1.35 (-100.00%),-59.36 (-100.00%),-109.81 (-100.00%),0,0,-274.37 (-100.00%),0,0,0
0xe7e2c68d3b13d905bbb636709cf4dfd21076b9d20000000000000000000005ca,mainnet,swETH-WETH-BPT,1906.83 (25.46%),-941.43 (-8.72%),1698.45 (24.60%),391.82 (4.72%),411.92 (5.61%),636.90 (9.08%),-196.42 (-7.27%),687.28 (23.51%),-1259.87 (-100.00%),-94.14 (-3.56%),-1024.03 (-100.00%),-766.06 (-100.00%),-1019.96 (-100.00%),-890.74 (-100.00%),-811.01 (-100.00%),-753.72 (-100.00%),-929.70 (-100.00%),-529.55 (-100.00%),-996.93 (-100.00%),-672.46 (-100.00%),-576.84 (-100.00%)
0xe8a6026365254f779b6927f00f8724ea1b8ae5e0000000000000000000000580,arbitrum,gUSDC/USDC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4994.35 (-100.00%)
0xed0df9cd16d806e8a523805e53cf0c56e6db4d1d000000000000000000000687,mainnet,ShezUSD/sDAI,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05 (-100.00%),-106.23 (-100.00%),-106.83 (-100.00%),0,0,0,0,-740.82 (-100.00%)
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,-753.53 (-100.00%),-1623.44 (-36.17%),-279.24 (-11.41%),-3437.96 (-52.80%),-5178.85 (-63.08%),-4515.53 (-61.57%),-6993.65 (-61.80%),-2890.99 (-56.67%),-5252.77 (-100.00%),-5852.68 (-71.62%),-6679.26 (-71.41%),-11965.22 (-68.26%),-6956.98 (-66.69%),-7195.49 (-67.05%),-1401.14 (-35.31%),-765.95 (-100.00%),-608.20 (-100.00%),-237.50 (-100.00%),0,0,0
0xef0c116a2818a5b1a5d836a291856a321f43c2fb00020000000000000000053a,arbitrum,ECLP-WOETH-WETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54.92 (-100.00%),1833.28 (245.60%),1517.76 (126.00%),-1154.98 (-100.00%)
0xf01b0684c98cd7ada480bfdf6e43876422fa1fc10002000000000000000005de,mainnet,ECLP-wstETH-wETH,-3978.27 (-100.00%),-9832.27 (-82.61%),-11213.91 (-81.68%),-11726.19 (-79.46%),-18440.00 (-86.63%),-14266.57 (-83.92%),-13763.04 (-82.67%),-17251.69 (-82.05%),-10660.67 (-73.14%),-8433.77 (-73.22%),-8513.86 (-71.59%),-14981.64 (-71.78%),-10895.03 (-71.05%),-7905.10 (-68.08%),-14715.01 (-75.60%),-15537.82 (-70.58%),-9921.01 (-74.78%),-12985.65 (-71.03%),-9184.28 (-65.19%),-14857.72 (-72.76%),1109.50 (48.22%)
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,-4470.79 (-63.57%),-8994.40 (-59.01%),-8365.42 (-62.51%),-12044.33 (-62.29%),-12314.17 (-58.87%),-10416.39 (-54.37%),-15064.05 (-57.26%),-7127.48 (-60.07%),-6489.13 (-57.32%),-3970.54 (-100.00%),-3272.63 (-100.00%),-2201.67 (-40.84%),-6403.67 (-37.04%),-6924.56 (-38.97%),-4008.27 (-41.91%),-2667.95 (-45.32%),-2173.18 (-44.72%),-2578.84 (-46.17%),-2565.22 (-46.48%),-3503.30 (-100.00%),-2545.30 (-100.00%)
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,929.52 (14.60%),1291.60 (10.83%),2902.30 (28.17%),4689.86 (35.99%),-1170.29 (-3.33%),365.92 (5.11%),18626.63 (12.53%),3995.23 (10.78%),970.30 (7.17%),599.02 (4.53%),2878.55 (9.22%),2529.02 (9.10%),1761.38 (8.30%),5890.95 (8.90%),1304.63 (6.15%),736.10 (9.91%),-0.59 (-0.01%),1593.74 (8.27%),200.46 (3.37%),213.63 (2.50%),78.19 (3.05%)
0xf7a826d47c8e02835d94fb0aa40f0cc9505cb1340002000000000000000005e0,mainnet,ECLP-wstETH-cbETH,-2683.97 (-100.00%),-8994.99 (-100.00%),-10923.61 (-80.44%),-13078.90 (-83.07%),-9676.17 (-80.51%),-13773.20 (-100.00%),-12926.72 (-82.13%),-9170.15 (-78.65%),-3957.85 (-100.00%),-9443.49 (-77.49%),-5749.54 (-66.17%),-7962.17 (-66.31%),-5107.59 (-57.77%),2628.34 (298.82%),-6635.39 (-100.00%),-3257.00 (-38.12%),-1012.19 (-100.00%),-2558.65 (-36.70%),-2716.64 (-39.05%),-2543.09 (-39.52%),175.42 (4.13%)
0xfb2f7ed572589940e24c5711c002adc59d5e79ef000000000000000000000535,arbitrum,jitoSOL/wSOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-188.85 (-100.00%),-642.72 (-100.00%),-206.98 (-100.00%),0,0,0
0xfb4c2e6e6e27b5b4a07a36360c89ede29bb3c9b6000000000000000000000026,base,cbETH/WETH,-11297.68 (-100.00%),-8555.23 (-100.00%),-14641.32 (-100.00%),-10100.87 (-100.00%),-7297.85 (-100.00%),-5624.13 (-100.00%),-4318.51 (-100.00%),-3662.10 (-100.00%),-1987.02 (-100.00%),-2426.41 (-100.00%),-3284.09 (-100.00%),-603.11 (-100.00%),-417.74 (-100.00%),-341.00 (-100.00%),-198.77 (-100.00%),-363.23 (-100.00%),-154.65 (-100.00%),-277.82 (-100.00%),-188.38 (-100.00%),-328.70 (-100.00%),-446.28 (-100.00%)
0xfd2620c9cfcec7d152467633b3b0ca338d3d78cc00000000000000000000001c,avalanche,sAVAX-WAVAX-BPT,2374.03 (18.72%),-1617.57 (-16.76%),1296.93 (10.00%),962.19 (5.35%),-3390.25 (-19.92%),-5425.04 (-16.98%),1582.28 (4.09%),-8032.10 (-29.25%),31185.44 (129.28%),-9580.35 (-27.66%),-3359.46 (-15.30%),-4055.03 (-15.88%),3743.37 (4.22%),-927.98 (-1.99%),-7541.95 (-21.61%),-6899.13 (-20.90%),-9695.29 (-30.08%),-11760.96 (-32.53%),-10563.76 (-29.22%),-9504.95 (-31.83%),-6335.13 (-26.37%)
0xff42a9af956617e4c3532ef2fc7567465efe4909000200000000000000000672,mainnet,50KEP/50rsETH,0,0,0,0,0,0,0,0,0,0,0,-3189.14 (-100.00%),-2522.39 (-100.00%),-2771.64 (-100.00%),-3539.76 (-100.00%),-3808.25 (-100.00%),-91.47 (-100.00%),-117.83 (-100.00%),0,-125.00 (-100.00%),-365.12 (-100.00%)
